airport_code,airport_name,city,timezone,longitude,latitude
TJM,"{""en"": ""Roshchino International Airport"", ""ru"": ""Рощино""}","{""en"": ""Tyumen"", ""ru"": ""Тюмень""}",Asia/Yekaterinburg,(65.3243026732999965,57.1896018981999958)
GOJ,"{""en"": ""Nizhny Novgorod Strigino International Airport"", ""ru"": ""Стригино""}","{""en"": ""Nizhniy Novgorod"", ""ru"": ""Нижний Новгород""}",Europe/Moscow,(43.7840003967289988,56.2300987243649999)
TOF,"{""en"": ""Bogashevo Airport"", ""ru"": ""Богашёво""}","{""en"": ""Tomsk"", ""ru"": ""Томск""}",Asia/Krasnoyarsk,(85.2082977294920028,56.3802986145020029)
UIK,"{""en"": ""Ust-Ilimsk Airport"", ""ru"": ""Усть-Илимск""}","{""en"": ""Ust Ilimsk"", ""ru"": ""Усть-Илимск""}",Asia/Irkutsk,(102.56500244140625,58.1361007690429688)
NSK,"{""en"": ""Norilsk-Alykel Airport"", ""ru"": ""Норильск""}","{""en"": ""Norilsk"", ""ru"": ""Норильск""}",Asia/Krasnoyarsk,(87.3321990966796875,69.31109619140625)
ARH,"{""en"": ""Talagi Airport"", ""ru"": ""Талаги""}","{""en"": ""Arkhangelsk"", ""ru"": ""Архангельск""}",Europe/Moscow,(40.7167015075683594,64.6003036499023438)
RTW,"{""en"": ""Saratov Central Airport"", ""ru"": ""Саратов-Центральный""}","{""en"": ""Saratov"", ""ru"": ""Саратов""}",Europe/Volgograd,(46.0466995239257812,51.5649986267089844)
NUX,"{""en"": ""Novy Urengoy Airport"", ""ru"": ""Новый Уренгой""}","{""en"": ""Novy Urengoy"", ""ru"": ""Новый Уренгой""}",Asia/Yekaterinburg,(76.5203018188476562,66.06939697265625)
NOJ,"{""en"": ""Noyabrsk Airport"", ""ru"": ""Ноябрьск""}","{""en"": ""Noyabrsk"", ""ru"": ""Ноябрьск""}",Asia/Yekaterinburg,(75.2699966430664062,63.1833000183105469)
UCT,"{""en"": ""Ukhta Airport"", ""ru"": ""Ухта""}","{""en"": ""Ukhta"", ""ru"": ""Ухта""}",Europe/Moscow,(53.8046989440917969,63.5668983459472656)
USK,"{""en"": ""Usinsk Airport"", ""ru"": ""Усинск""}","{""en"": ""Usinsk"", ""ru"": ""Усинск""}",Europe/Moscow,(57.3671989440917969,66.00469970703125)
NNM,"{""en"": ""Naryan Mar Airport"", ""ru"": ""Нарьян-Мар""}","{""en"": ""Naryan-Mar"", ""ru"": ""Нарьян-Мар""}",Europe/Moscow,(53.1218986511230469,67.6399993896484375)
PKV,"{""en"": ""Pskov Airport"", ""ru"": ""Псков""}","{""en"": ""Pskov"", ""ru"": ""Псков""}",Europe/Moscow,(28.395599365234375,57.7839012145996094)
KGP,"{""en"": ""Kogalym International Airport"", ""ru"": ""Когалым""}","{""en"": ""Kogalym"", ""ru"": ""Когалым""}",Asia/Yekaterinburg,(74.5337982177734375,62.190399169921875)
KJA,"{""en"": ""Yemelyanovo Airport"", ""ru"": ""Емельяново""}","{""en"": ""Krasnoyarsk"", ""ru"": ""Красноярск""}",Asia/Krasnoyarsk,(92.493301391602003,56.1729011535639984)
URJ,"{""en"": ""Uray Airport"", ""ru"": ""Петрозаводск""}","{""en"": ""Uraj"", ""ru"": ""Урай""}",Asia/Yekaterinburg,(64.8266983032226562,60.1032981872558594)
IWA,"{""en"": ""Ivanovo South Airport"", ""ru"": ""Иваново-Южный""}","{""en"": ""Ivanovo"", ""ru"": ""Иваново""}",Europe/Moscow,(40.9407997131347656,56.9393997192382812)
PYJ,"{""en"": ""Polyarny Airport"", ""ru"": ""Полярный""}","{""en"": ""Yakutia"", ""ru"": ""Удачный""}",Asia/Yakutsk,(112.029998778999996,66.4003982544000024)
KXK,"{""en"": ""Komsomolsk-on-Amur Airport"", ""ru"": ""Хурба""}","{""en"": ""Komsomolsk-on-Amur"", ""ru"": ""Комсомольск-на-Амуре""}",Asia/Vladivostok,(136.934005737304688,50.4090003967285156)
DYR,"{""en"": ""Ugolny Airport"", ""ru"": ""Анадырь""}","{""en"": ""Anadyr"", ""ru"": ""Анадырь""}",Asia/Anadyr,(177.740997314453125,64.7349014282226562)
PES,"{""en"": ""Petrozavodsk Airport"", ""ru"": ""Бесовец""}","{""en"": ""Petrozavodsk"", ""ru"": ""Петрозаводск""}",Europe/Moscow,(34.1547012329101562,61.8852005004882812)
KYZ,"{""en"": ""Kyzyl Airport"", ""ru"": ""Кызыл""}","{""en"": ""Kyzyl"", ""ru"": ""Кызыл""}",Asia/Krasnoyarsk,(94.4005966186523438,51.6693992614746094)
NOZ,"{""en"": ""Spichenkovo Airport"", ""ru"": ""Спиченково""}","{""en"": ""Novokuznetsk"", ""ru"": ""Новокузнецк""}",Asia/Novokuznetsk,(86.877197265625,53.8114013671875)
GRV,"{""en"": ""Khankala Air Base"", ""ru"": ""Грозный""}","{""en"": ""Grozny"", ""ru"": ""Грозный""}",Europe/Moscow,(45.7840995788574219,43.2980995178222656)
NAL,"{""en"": ""Nalchik Airport"", ""ru"": ""Нальчик""}","{""en"": ""Nalchik"", ""ru"": ""Нальчик""}",Europe/Moscow,(43.6366004943847656,43.5129013061523438)
OGZ,"{""en"": ""Beslan Airport"", ""ru"": ""Беслан""}","{""en"": ""Beslan"", ""ru"": ""Владикавказ""}",Europe/Moscow,(44.6066017150999983,43.2051010132000002)
ESL,"{""en"": ""Elista Airport"", ""ru"": ""Элиста""}","{""en"": ""Elista"", ""ru"": ""Элиста""}",Europe/Moscow,(44.3308982849121094,46.3739013671875)
SLY,"{""en"": ""Salekhard Airport"", ""ru"": ""Салехард""}","{""en"": ""Salekhard"", ""ru"": ""Салехард""}",Asia/Yekaterinburg,(66.6110000610351562,66.5907974243164062)
HMA,"{""en"": ""Khanty Mansiysk Airport"", ""ru"": ""Ханты-Мансийск""}","{""en"": ""Khanty-Mansiysk"", ""ru"": ""Ханты-Мансийск""}",Asia/Yekaterinburg,(69.0860977172851562,61.0284996032714844)
NYA,"{""en"": ""Nyagan Airport"", ""ru"": ""Нягань""}","{""en"": ""Nyagan"", ""ru"": ""Нягань""}",Asia/Yekaterinburg,(65.6149978637695312,62.1100006103515625)
OVS,"{""en"": ""Sovetskiy Airport"", ""ru"": ""Советский""}","{""en"": ""Sovetskiy"", ""ru"": ""Советский""}",Asia/Yekaterinburg,(63.6019134521484375,61.3266220092773438)
IJK,"{""en"": ""Izhevsk Airport"", ""ru"": ""Ижевск""}","{""en"": ""Izhevsk"", ""ru"": ""Ижевск""}",Europe/Samara,(53.4575004577636719,56.8280982971191406)
KVX,"{""en"": ""Pobedilovo Airport"", ""ru"": ""Победилово""}","{""en"": ""Kirov"", ""ru"": ""Киров""}",Europe/Moscow,(49.3483009338379972,58.5032997131350001)
NYM,"{""en"": ""Nadym Airport"", ""ru"": ""Надым""}","{""en"": ""Nadym"", ""ru"": ""Надым""}",Asia/Yekaterinburg,(72.6988983154296875,65.4809036254882812)
NFG,"{""en"": ""Nefteyugansk Airport"", ""ru"": ""Нефтеюганск""}","{""en"": ""Nefteyugansk"", ""ru"": ""Нефтеюганск""}",Asia/Yekaterinburg,(72.6500015258789062,61.1082992553710938)
KRO,"{""en"": ""Kurgan Airport"", ""ru"": ""Курган""}","{""en"": ""Kurgan"", ""ru"": ""Курган""}",Asia/Yekaterinburg,(65.4156036376953125,55.4752998352050781)
EGO,"{""en"": ""Belgorod International Airport"", ""ru"": ""Белгород""}","{""en"": ""Belgorod"", ""ru"": ""Белгород""}",Europe/Moscow,(36.5900993347167969,50.643798828125)
URS,"{""en"": ""Kursk East Airport"", ""ru"": ""Курск-Восточный""}","{""en"": ""Kursk"", ""ru"": ""Курск""}",Europe/Moscow,(36.2956008911132812,51.7505989074707031)
LPK,"{""en"": ""Lipetsk Airport"", ""ru"": ""Липецк""}","{""en"": ""Lipetsk"", ""ru"": ""Липецк""}",Europe/Moscow,(39.5377998352050781,52.7028007507324219)
VKT,"{""en"": ""Vorkuta Airport"", ""ru"": ""Воркута""}","{""en"": ""Vorkuta"", ""ru"": ""Воркута""}",Europe/Moscow,(63.9930992126464844,67.4886016845703125)
UUA,"{""en"": ""Bugulma Airport"", ""ru"": ""Бугульма""}","{""en"": ""Bugulma"", ""ru"": ""Бугульма""}",Europe/Moscow,(52.8017005920410156,54.6399993896484375)
JOK,"{""en"": ""Yoshkar-Ola Airport"", ""ru"": ""Йошкар-Ола""}","{""en"": ""Yoshkar-Ola"", ""ru"": ""Йошкар-Ола""}",Europe/Moscow,(47.9047012329101562,56.7005996704101562)
CSY,"{""en"": ""Cheboksary Airport"", ""ru"": ""Чебоксары""}","{""en"": ""Cheboksary"", ""ru"": ""Чебоксары""}",Europe/Moscow,(47.3473014831542969,56.090301513671875)
ULY,"{""en"": ""Ulyanovsk East Airport"", ""ru"": ""Ульяновск-Восточный""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}",Europe/Samara,(48.8027000427246094,54.4010009765625)
OSW,"{""en"": ""Orsk Airport"", ""ru"": ""Орск""}","{""en"": ""Orsk"", ""ru"": ""Орск""}",Asia/Yekaterinburg,(58.5956001281738281,51.0724983215332031)
PEZ,"{""en"": ""Penza Airport"", ""ru"": ""Пенза""}","{""en"": ""Penza"", ""ru"": ""Пенза""}",Europe/Moscow,(45.0210990905761719,53.1105995178222656)
SKX,"{""en"": ""Saransk Airport"", ""ru"": ""Саранск""}","{""en"": ""Saransk"", ""ru"": ""Саранск""}",Europe/Moscow,(45.2122573852539062,54.1251296997070312)
TBW,"{""en"": ""Donskoye Airport"", ""ru"": ""Донское""}","{""en"": ""Tambow"", ""ru"": ""Тамбов""}",Europe/Moscow,(41.4827995300289984,52.806098937987997)
